Name,Estimate,SE,tStat,DF,pValue,Lower,Upper,Significant,IsInteraction
VGF:noiseMagnitude:noiseColor:samplingRate,-4.44948773001339e-06,1.3072836898028e-06,-3.40364893671527,17458343,0.000663521978498567,-7.01155302153834e-06,-1.88742243848844e-06,1,1
VGF:noiseMagnitude:noiseColor:filterType_6,-0.000197625820673432,0.000307959636085501,-0.641731773025849,17458343,0.521060068703254,-0.000801226101441795,0.000406274460094932,0,1
VGF:noiseMagnitude:noiseColor:regressionType_4,0.000576049046344543,0.000307959636085501,1.86986117028017,17458343,0.0615309875895131,-2.75381050562855e-05,0.00117963914324537,0,1
VGF:noiseMagnitude:noiseColor:regressionType_5,0.000258988225393432,0.000308394867783127,0.839876462673753,17458343,0.401123804432785,-0.000345443839221897,0.000863420289008762,0,1
betaGenerated:VGF:noiseColor:samplingRate,1.26501063993394e-05,2.30435513025791e-06,5.48943029614979,17458343,3.98534703929427e-08,7.63595628090378e-06,1.7664255977575e-05,1,1
betaGenerated:VGF:noiseColor:filterType_6,0.000373399038614888,0.000316503571116456,1.17980462764029,17458343,0.238020399449534,-0.000246944940086524,0.000993742917316301,0,1
betaGenerated:VGF:noiseColor:regressionType_4,0.000445993714960127,0.000316503571116456,1.40913754131384,17458343,0.158832069397929,-0.000174350806658671,0.00106633623657893,0,1
betaGenerated:VGF:noiseColor:regressionType_5,-1.82416897064217e-05,0.000317028553742024,-0.0575374024477619,17458343,0.954118117419082,-0.000639603756218042,0.000603120376805199,0,1
betaGenerated:noiseMagnitude:noiseColor:samplingRate,6.20979688280127e-05,2.72360044994474e-06,22.7989773213065,17458343,1.81918543296048e-115,5.6759601063637e-05,6.74363366,0,1
betaGenerated:noiseMagnitude:noiseColor:samplingRate,6.20979688280127e-05,2.72360044994474e-06,22.7989773213065,17458343,1.81918543296048e-115,5.67596010636365e-05,6.74363365923888e-05,1,1
betaGenerated:noiseMagnitude:noiseColor:filterType_6,-0.00240095367459918,0.000316503571116456,-7.58566069765779,17458343,3.24839327064558e-14,-0.00302128867338864,-0.00178061867580973,1,1
betaGenerated:noiseMagnitude:noiseColor:regressionType_4,-0.00138428060540929,0.000316503571116456,-4.37390720960716,17458343,1.22098516867029e-05,-0.00200461560419875,-0.000763945606619836,1,1
betaGenerated:noiseMagnitude:noiseColor:regressionType_5,-0.00117427741614509,0.000317028553742024,-3.70381283027327,17458343,0.000212550765047626,-0.00179564340187344,-0.000552911430416744,1,1
betaGenerated:VGF:samplingRate:filterType_6:regressionType_4,7.11048834498085e-06,2.81830375777454e-06,2.52304777049571,17458343,0.0116298143462779,1.58701118113059e-06,1.26339654888311e-05,1,1
betaGenerated:VGF:samplingRate:filterType_6:regressionType_5,1.28419855186217e-06,2.82218558217507e-06,0.455042684011754,17458343,0.649199025695117,-4.24704649432714e-06,6.81543959805148e-06,0,1
betaGenerated:noiseMagnitude:samplingRate:filterType_6:regressionType_4,-2.46760427782289e-05,2.82167768283956e-06,-8.74538695617408,17458343,2.17071386278524e-18,-3.01884749059754e-05,-1.91636106504824e-05,1,1
betaGenerated:noiseMagnitude:samplingRate:filterType_6:regressionType_5,-1.66875040803386e-05,2.82557344501481e-06,-5.90593869034042,17458343,3.50001501067148e-09,-2.22256480124447e-05,-1.11493601482326e-05,1,1
VGF:noiseMagnitude:samplingRate:filterType_6:regressionType_4,-1.81100671127007e-06,2.77316064649396e-06,-0.653087399534046,17458343,0.513706068479843,-7.24638082685239e-06,3.62436740431226e-06,0,1
VGF:noiseMagnitude:samplingRate:filterType_6:regressionType_5,-2.25785831832009e-06,2.7785651619376e-06,-0.812619261600978,17458343,0.416456394614584,-7.70380823786957e-06,3.18809160122938e-06,0,1
betaGenerated:noiseColor:samplingRate:filterType_6:regressionType_4,-4.46047498459278e-06,2.82167768283956e-06,-1.58078949090003,17458343,0.113861895574453,-9.9909734369443e-06,1.06902346775875e-06,0,1
betaGenerated:noiseColor:samplingRate:filterType_6:regressionType_5,-2.62022069684571e-06,2.82557344501481e-06,-0.927392791524424,17458343,0.353824095183374,-8.15823589528289e-06,2.91779450159147e-06,0,1
VGF:noiseColor:samplingRate:filterType_6:regressionType_4,3.58820090280694e-07,2.77316064649396e-06,0.12940024068671,17458343,0.89704568042734,-5.07822449476773e-06,5.79586467532912e-06,0,1
VGF:noiseColor:samplingRate:filterType_6:regressionType_5,1.54754088088386e-07,2.7785651619376e-06,0.0557006543386779,17458343,0.955600200684226,-5.29144516673558e-06,5.60095334291235e-06,0,1
noiseMagnitude:noiseColor:samplingRate:filterType_6:regressionType_4,4.15866186698397e-06,2.77316064649396e-06,1.50035133427573,17458343,0.133610773027069,-1.27843779527748e-06,9.59576168924543e-06,0,1
noiseMagnitude:noiseColor:samplingRate:filterType_6:regressionType_5,3.97163777095339e-06,2.7785651619376e-06,1.42939625479016,17458343,0.152935476386483,-1.47488697866636e-06,9.41816232057313e-06,0,1
betaGenerated:VGF:noiseMagnitude:samplingRate:filterType_6,2.27023760539174e-06,2.86022088375636e-06,0.793726965745079,17458343,0.427314555011272,-3.33578499940949e-06,7.87626020819296e-06,0,1
betaGenerated:VGF:noiseMagnitude:samplingRate:regressionType_4,-2.81038716742524e-06,2.87568753897247e-06,-0.977191285234455,17458343,0.328579282578451,-8.44669059640668e-06,2.82591626155621e-06,0,1
betaGenerated:VGF:noiseMagnitude:samplingRate:regressionType_5,-2.14756093618024e-06,2.87952408765494e-06,-0.745802817028791,17458343,0.455796399636682,-7.79139060920028e-06,3.49626873683981e-06,0,1
betaGenerated:VGF:noiseColor:samplingRate:filterType_6,1.04636484434451e-06,2.86022088375636e-06,0.365839213990523,17458343,0.714531777088862,-4.55965013941476e-06,6.65238082810378e-06,0,1
betaGenerated:VGF:noiseColor:samplingRate:regressionType_4,-4.41985440025447e-06,2.87568753897247e-06,-1.53706175979007,17458343,0.124361620898869,-1.00443108783823e-05,1.20460207787339e-06,0,1
betaGenerated:VGF:noiseColor:samplingRate:regressionType_5,1.05073879673083e-06,2.87952408765494e-06,0.364898817049441,17458343,0.715254499213706,-4.59288397803248e-06,6.69436157149414e-06,0,1
betaGenerated:noiseMagnitude:noiseColor:samplingRate:filterType_6,-5.47765826897485e-06,2.86022088375636e-06,-1.9151197316454,17458343,0.0554520028183939,-1.10836689037413e-05,8.77533437469152e-07,0,1
